case 1; case 2; case 3; case 4;
8	10282	3950	7755	
8	10248	3964	7909	
8	10316	3841	7730	
8	10213	3903	7825	
8	10176	3880	7807	
8	10184	3805	7675	
8	10254	3849	7806	
8	10236	3879	7743	
8	10273	3901	7755	
8	10285	3894	7780	
8	10281	3931	7788	
8	10243	3783	7702	
8	10275	3863	7776	
8	10187	3884	7767	
8	10190	3990	7870	
8	10233	3854	7763	
8	10274	3848	7807	
8	10255	3850	7721	
8	10221	3750	7679	
8	10279	3895	7710	
8	10291	3907	7849	
8	10265	3866	7683	
8	10334	3967	7765	
8	10278	3866	7762	
8	10282	3876	7828	
8	10272	3845	7736	
8	10246	3895	7751	
8	10233	3917	7764	
8	10306	3845	7643	
8	10298	3876	7831	
8	10309	3882	7681	
8	10242	3845	7762	
8	10248	3959	7870	
8	10295	3889	7725	
8	10307	3840	7707	
8	10360	3853	7806	
8	10257	3901	7844	
8	10242	3863	7742	
8	10277	3887	7740	
8	10276	3971	7829	
8	10262	3869	7821	
8	10322	3810	7683	
8	10284	3917	7796	
8	10264	3886	7783	
8	10309	3970	7837	
8	10254	3920	7824	
8	10237	3922	7775	
8	10298	3921	7826	
8	10284	3940	7817	
8	10283	3901	7744	
	
